EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
159594.700,183680.800,312098.100,281275.800,166659.800,162240.300,149331.700,165973.600,0.000
159587.300,183744.200,312135.500,281295.700,166905.200,162295.100,149439.700,166142.800,0.000
159552.500,183760.300,312060.800,281180.100,167047.000,162317.600,149456.300,166162.600,0.000
159501.200,183664.100,311813.700,280951.400,166852.500,162239.300,149326.700,165969.500,0.000
159463.400,183541.900,311565.700,280785.700,166544.100,162128.300,149188.300,165784.700,0.000
159465.700,183539.600,311517.000,280795.700,166526.200,162117.700,149215.000,165843.700,0.000
159466.900,183616.800,311572.300,280832.300,166776.300,162185.300,149332.700,166018.000,0.000
159438.700,183632.800,311514.300,280723.800,166915.100,162208.500,149349.700,166033.200,0.000
159384.000,183526.400,311278.600,280498.000,166715.500,162123.700,149219.100,165842.500,0.000
159360.400,183413.300,311065.900,280352.500,166422.100,162020.200,149099.800,165672.800,0.000
159366.000,183406.600,311031.800,280368.900,166406.200,162010.200,149127.900,165726.200,0.000
159370.300,183483.400,311100.900,280409.200,166661.100,162076.800,149244.300,165906.200,0.000
159346.300,183513.000,311064.200,280315.400,166819.600,162112.700,149275.600,165937.800,0.000
159294.700,183423.400,310847.700,280101.300,166640.900,162043.000,149152.800,165750.400,0.000
159264.700,183316.200,310637.900,279957.300,166348.900,161940.300,149024.500,165577.800,0.000
159275.000,183319.100,310616.000,279982.700,166331.500,161932.500,149057.600,165641.500,0.000
159282.700,183401.500,310697.200,280033.500,166589.900,162005.600,149179.000,165826.600,0.000
159259.100,183432.700,310664.100,279949.100,166753.700,162047.000,149213.400,165866.400,0.000
159219.800,183350.400,310458.600,279749.100,166575.800,161983.900,149099.400,165683.100,0.000
159193.200,183239.400,310254.200,279611.600,166277.000,161880.400,148971.000,165511.000,0.000
159200.300,183234.800,310230.400,279637.900,166250.900,161863.000,148991.200,165571.500,0.000
