EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-125.8850326538086,-123.47103881835938,-122.57697296142578,-125.08036804199219,-116.40789031982422,-118.64306640625,-113.99390411376953,-96.73835754394531
-125.79562377929688,-123.5604476928711,-122.57697296142578,-124.90155029296875,-116.76551818847656,-118.37484741210938,-113.99390411376953,-97.00657653808594
-125.79562377929688,-123.5604476928711,-122.57697296142578,-124.90155029296875,-116.76551818847656,-118.55365753173828,-113.72567749023438,-96.73835754394531
-125.79562377929688,-123.47103881835938,-122.39815521240234,-125.08036804199219,-116.40789031982422,-118.8218765258789,-113.72567749023438,-96.73835754394531
-125.79562377929688,-123.38163757324219,-122.39815521240234,-125.08036804199219,-116.3184814453125,-118.64306640625,-113.8150863647461,-96.6489486694336
-125.79562377929688,-123.47103881835938,-122.57697296142578,-124.81214904785156,-116.49729919433594,-118.55365753173828,-113.8150863647461,-96.55953979492188
-125.79562377929688,-123.64985656738281,-122.57697296142578,-124.99095916748047,-116.22908020019531,-118.46424865722656,-113.8150863647461,-96.47013092041016
-125.70621490478516,-123.38163757324219,-122.39815521240234,-125.08036804199219,-116.49729919433594,-118.55365753173828,-113.63627624511719,-96.55953979492188
-125.70621490478516,-123.29222869873047,-122.48756408691406,-124.72274017333984,-116.58670806884766,-118.64306640625,-113.63627624511719,-96.47013092041016
-125.70621490478516,-123.29222869873047,-122.30875396728516,-124.81214904785156,-116.3184814453125,-118.46424865722656,-113.72567749023438,-96.47013092041016
-125.79562377929688,-123.11341094970703,-122.57697296142578,-125.08036804199219,-116.3184814453125,-118.55365753173828,-113.63627624511719,-96.47013092041016
-125.79562377929688,-123.20281982421875,-122.48756408691406,-124.99095916748047,-116.3184814453125,-118.8218765258789,-113.8150863647461,-96.73835754394531
-125.79562377929688,-123.38163757324219,-122.6663818359375,-124.81214904785156,-116.3184814453125,-118.55365753173828,-113.90449523925781,-96.73835754394531
-125.70621490478516,-123.5604476928711,-122.57697296142578,-124.81214904785156,-116.22908020019531,-118.64306640625,-113.63627624511719,-96.6489486694336
-125.70621490478516,-123.29222869873047,-122.39815521240234,-124.81214904785156,-116.1396713256836,-118.64306640625,-113.63627624511719,-96.38072967529297
-125.52740478515625,-123.29222869873047,-122.21934509277344,-124.81214904785156,-116.3184814453125,-118.55365753173828,-113.72567749023438,-96.6489486694336
-125.52740478515625,-123.47103881835938,-122.57697296142578,-124.5439224243164,-116.3184814453125,-118.55365753173828,-113.90449523925781,-96.6489486694336
-125.52740478515625,-123.38163757324219,-122.57697296142578,-124.72274017333984,-116.3184814453125,-118.37484741210938,-113.72567749023438,-96.73835754394531
-125.61680603027344,-123.47103881835938,-122.57697296142578,-124.3651123046875,-116.3184814453125,-118.64306640625,-113.8150863647461,-96.55953979492188
-125.52740478515625,-123.38163757324219,-122.39815521240234,-124.5439224243164,-116.40789031982422,-118.46424865722656,-113.63627624511719,-96.47013092041016
-125.34858703613281,-123.20281982421875,-122.30875396728516,-124.90155029296875,-116.40789031982422,-118.55365753173828,-113.72567749023438,-96.47013092041016
-125.43799591064453,-123.29222869873047,-122.21934509277344,-124.81214904785156,-116.40789031982422,-118.55365753173828,-113.63627624511719,-96.29132080078125
